Trend,EoP,Period,"Trade export, $bn","Avg. Urals, $/bbl","Crude oil export volumes, mln ton"
1,3/31/05,1Q05,5.8,43.2,NA
2,6/30/05,2Q05,7.5,47.8,NA
3,9/30/05,3Q05,7.5,57.2,NA
4,12/31/05,4Q05,7.5,53.6,NA
5,3/31/06,1Q06,7.4,57.7,NA
6,6/30/06,2Q06,10.1,64.5,NA
7,9/30/06,3Q06,11.2,65.3,NA
8,12/31/06,4Q06,10.0,56.1,NA
9,3/31/07,1Q07,10.2,54.0,15.54
10,6/30/07,2Q07,11.9,65.5,15.92
11,9/30/07,3Q07,12.1,72.5,14.37
12,12/31/07,4Q07,14.1,85.9,14.96
13,3/31/08,1Q08,15.9,93.5,14.89
14,6/30/08,2Q08,19.5,116.6,15.83
15,9/30/08,3Q08,21.3,112.7,14.81
16,12/31/08,4Q08,15.3,53.5,15.18
17,3/31/09,1Q09,8.2,43.4,16.18
18,6/30/09,2Q09,9.3,58.2,16.85
19,9/30/09,3Q09,12.4,67.7,16.88
20,12/31/09,4Q09,14.0,73.9,17.34
21,3/31/10,1Q10,13.6,75.1,16.40
22,6/30/10,2Q10,16.3,76.4,18.26
23,9/30/10,3Q10,15.4,75.8,17.24
24,12/31/10,4Q10,16.1,85.1,15.56
25,3/31/11,1Q11,16.6,102.7,15.07
26,6/30/11,2Q11,25.6,114.1,21.96
27,9/30/11,3Q11,22.2,112.4,16.96
28,12/31/11,4Q11,20.9,109.2,15.53
29,3/31/12,1Q12,20.8,117.5,16.67
30,6/30/12,2Q12,23.5,106.7,17.94
31,9/30/12,3Q12,21.5,109.4,17.49
32,12/31/12,4Q12,21.1,109.5,15.95
33,3/31/13,1Q13,20.8,111.4,17.03
34,6/30/13,2Q13,22.3,102.3,18.12
35,9/30/13,3Q13,20.3,110.5,17.58
36,12/31/13,4Q13,22.2,108.9,17.91
37,3/31/14,1Q14,23.1,107.3,20.36
38,6/30/14,2Q14,19.8,108.2,16.47
39,9/30/14,3Q14,19.8,101.0,15.80
40,12/31/14,4Q14,17.5,75.9,14.81
41,3/31/15,1Q15,12.2,52.9,15.99
42,6/30/15,2Q15,12.7,61.3,17.14
43,9/30/15,3Q15,11.5,49.7,14.34
44,12/31/15,4Q15,10.2,42.3,13.81
45,3/31/16,1Q16,8.5,32.2,16.15
46,6/30/16,2Q16,8.7,43.9,15.99
47,9/30/16,3Q16,9.7,44.0,15.08
48,12/31/16,4Q16,10.4,47.8,14.99
49,3/31/17,1Q17,11.0,52.2,15.85
50,6/30/17,2Q17,12.4,48.4,17.31
