Trend,EoP,Period,"Trade import, $bn",KZT REER
1,3/31/05,1Q05,3.5,0.98
2,6/30/05,2Q05,4.8,0.96
3,9/30/05,3Q05,4.7,0.95
4,12/31/05,4Q05,5.0,0.96
5,3/31/06,1Q06,4.1,1.01
6,6/30/06,2Q06,6.0,1.09
7,9/30/06,3Q06,6.7,1.09
8,12/31/06,4Q06,7.3,1.07
9,3/31/07,1Q07,6.5,1.12
10,6/30/07,2Q07,8.4,1.16
11,9/30/07,3Q07,9.0,1.16
12,12/31/07,4Q07,9.1,1.26
13,3/31/08,1Q08,7.3,1.33
14,6/30/08,2Q08,10.1,1.33
15,9/30/08,3Q08,11.1,1.36
16,12/31/08,4Q08,9.9,1.40
17,3/31/09,1Q09,6.1,1.26
18,6/30/09,2Q09,7.3,1.17
19,9/30/09,3Q09,7.6,1.17
20,12/31/09,4Q09,7.9,1.19
21,3/31/10,1Q10,5.7,1.23
22,6/30/10,2Q10,7.9,1.26
23,9/30/10,3Q10,9.3,1.27
24,12/31/10,4Q10,10.0,1.29
25,3/31/11,1Q11,7.3,1.33
26,6/30/11,2Q11,11.1,1.34
27,9/30/11,3Q11,10.4,1.34
28,12/31/11,4Q11,11.5,1.34
29,3/31/12,1Q12,9.6,1.35
30,6/30/12,2Q12,11.5,1.35
31,9/30/12,3Q12,13.0,1.35
32,12/31/12,4Q12,14.7,1.36
33,3/31/13,1Q13,10.4,1.39
34,6/30/13,2Q13,13.5,1.39
35,9/30/13,3Q13,13.2,1.38
36,12/31/13,4Q13,13.7,1.38
37,3/31/14,1Q14,8.9,1.28
38,6/30/14,2Q14,11.5,1.21
39,9/30/14,3Q14,12.2,1.22
40,12/31/14,4Q14,11.4,1.24
41,3/31/15,1Q15,7.9,1.26
42,6/30/15,2Q15,9.4,1.24
43,9/30/15,3Q15,8.8,1.08
44,12/31/15,4Q15,7.7,0.82
45,3/31/16,1Q16,5.8,0.74
46,6/30/16,2Q16,6.8,0.79
47,9/30/16,3Q16,7.3,0.78
48,12/31/16,4Q16,8.0,0.81
49,3/31/17,1Q17,6.7,0.86
50,6/30/17,2Q17,8.1,0.89
